BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP,COMMENTS,STATUT,Statuts
CT10_12,242012.9634,1379527.449,139,22,115,60,,Undrilled,Undrilled
CT10_16,241869.0558,1379589.395,121,54,115,60,,Undrilled,Undrilled
CT10_17,241859.0288,1379593.711,119,63,115,60,,Undrilled,Undrilled
CT10_18,241847.0206,1379598.88,120,75,115,60,,Undrilled,Undrilled
CT10_19,241835.9284,1379603.654,118,85,115,60,,Undrilled,Undrilled
CT10_20,241802.6516,1379617.979,140,50,115,60,,Undrilled,Undrilled
CT10_21,241788.7863,1379623.947,140,59,115,60,,Undrilled,Undrilled
CT11_11,241994.1945,1379521.442,130,33,115,60,,Undrilled,Undrilled
CT11_17,241863.7271,1379577.603,115,90,115,60,,Undrilled,Undrilled
CT11_18,241849.2654,1379583.828,120,90,115,60,,Undrilled,Undrilled
CT11_19,241838.2053,1379588.589,120,90,115,60,,Undrilled,Undrilled
CT11_20,241831.2512,1379591.582,110,90,115,60,,Undrilled,Undrilled
CT12_17,241860.8718,1379563.761,115,78,115,60,,Undrilled,Undrilled
CT12_18,241848.7871,1379568.963,115,90,115,60,,Undrilled,Undrilled
CT12_20,241842.8823,1379571.505,80,59,115,60,,Undrilled,Undrilled
CT12_21,241830.3191,1379576.912,80,72,115,60,,Undrilled,Undrilled
CT13_08,241990.2454,1379496.002,120,30,115,60,,Undrilled,Undrilled
CT13_17,241864.1918,1379550.262,106,71,115,60,,Undrilled,Undrilled
CT13_18,241853.213,1379554.988,105,81,115,60,,Undrilled,Undrilled
CT13_19,241842.0532,1379559.792,105,95,115,60,,Undrilled,Undrilled
CT13_20,241830.7494,1379564.657,105,90,115,60,,Undrilled,Undrilled
CT14_13,241839.5942,1379550.312,105,78,115,60,,Undrilled,Undrilled
CT14_14,241835.1403,1379552.229,94,77,115,60,,Undrilled,Undrilled
CT14_15,241824.2323,1379556.924,93,87,115,60,,Undrilled,Undrilled
CT14_4,241965.3116,1379496.196,115,52,115,60,,Undrilled,Undrilled
CT15_04,241943.5251,1379491.89,106,66,115,60,,Undrilled,Undrilled
CT15_06,241964.6031,1379482.816,105,44,115,60,,Undrilled,Undrilled
CT15_07,241976.1605,1379477.841,115,40,115,60,,Undrilled,Undrilled
CT15_18,241860.7866,1379527.505,101,70,115,60,,Undrilled,Undrilled
CT15_19,241843.8992,1379534.774,85,81,115,60,,Undrilled,Undrilled
CT15_20,241832.7272,1379539.583,85,73,115,60,,Undrilled,Undrilled
CT16_02,241863.6319,1379514.035,105,73,115,60,,Undrilled,Undrilled
CT16_11,241994.5617,1379457.676,115,52,115,60,,Undrilled,Undrilled
CT17_11,241965.4632,1379459.949,106,44,115,60,,Undrilled,Undrilled
CT17_13,241982.5568,1379452.235,107,64,115,60,,Undrilled,Undrilled
CT17_23,241835.6414,1379518.538,85,90,115,60,,Undrilled,Undrilled
CT17_24,241824.9585,1379523.359,85,90,115,60,,Undrilled,Undrilled
CT18_01,241839.5091,1379504.147,98,90,115,60,,Undrilled,Undrilled
CT18_02,241850.7346,1379499.081,98,81,115,60,,Undrilled,Undrilled
CT18_03,241860.7814,1379494.547,100,74,115,60,,Undrilled,Undrilled
CT18_11,241988.7398,1379436.799,106,56,115,60,,Undrilled,Undrilled
CT18_21,241827.998,1379509.342,97,82,115,60,,Undrilled,Undrilled
CT18_23,241816.0576,1379514.731,98,94,115,60,,Undrilled,Undrilled
CT19_13,242015.5085,1379412.572,105,32,115,60,,Undrilled,Undrilled
CT19_20,241820.7291,1379500.476,97,90,115,60,,Undrilled,Undrilled
CT2_06,242019.5785,1379671.105,167,37,115,60,,Undrilled,Undrilled
CT20_03,241858.1563,1379467.34,96,74,115,60,,Undrilled,Undrilled
CT20_16,242019.194,1379394.664,105,31,115,60,,Undrilled,Undrilled
CT20_23,241822.6203,1379483.377,96,90,115,60,,Undrilled,Undrilled
CT20_24,241809.2687,1379489.403,96,96,115,60,,Undrilled,Undrilled
CT21_17,242029.2913,1379376.143,105,21,115,60,,Undrilled,Undrilled
CT21_23,241810.0786,1379475.074,85,99,115,60,,Undrilled,Undrilled
CT21_25,242313.0062,1379248.102,156,22,115,60,,Undrilled,Undrilled
CT22_01,241814.4278,1379459.969,80,99,115,60,,Undrilled,Undrilled
CT22_07,241886.9179,1379427.254,80,90,115,60,,Undrilled,Undrilled
CT22_08,241898.5146,1379422.021,80,95,115,60,,Undrilled,Undrilled
CT22_09,241901.5838,1379420.635,96,80,115,60,,Undrilled,Undrilled
CT23_01,241814.5485,1379429.88,81,99,115,60,,Undrilled,Undrilled
CT23_02,241827.2492,1379423.879,80,90,115,60,,Undrilled,Undrilled
CT24_01,241818.5689,1379413.946,80,97,115,60,,Undrilled,Undrilled
CT24_02,241831.1495,1379408.002,80,90,115,60,,Undrilled,Undrilled
CT24_03,241842.5035,1379402.637,80,90,115,60,,Undrilled,Undrilled
CT24_04,241853.6857,1379397.354,80,90,115,60,,Undrilled,Undrilled
CT24_05,241862.6315,1379393.127,85,90,115,60,,Undrilled,Undrilled
CT25_01,241815.4386,1379391.906,59,94,115,60,,Undrilled,Undrilled
CT25_02,241830.0297,1379385.012,80,90,115,60,,Undrilled,Undrilled
CT25_03,241841.1274,1379379.768,80,90,115,60,,Undrilled,Undrilled
CT25_04,241849.6164,1379375.758,85,90,115,60,,Undrilled,Undrilled
CT25_26,241803.338,1379464.974,80,92,115,60,,Undrilled,Undrilled
CT26_01,241808.2829,1379379.277,65,90,115,60,,Undrilled,Undrilled
CT26_02,241819.9441,1379373.767,65,90,115,60,,Undrilled,Undrilled
CT26_03,241831.3795,1379368.364,65,90,115,60,,Undrilled,Undrilled
CT26_04,241843.1615,1379362.797,65,90,115,60,,Undrilled,Undrilled
CT26_05,241851.4439,1379358.884,70,90,115,60,,Undrilled,Undrilled
CT26_06,241851.378,1379358.915,90,90,115,60,,Undrilled,Undrilled
CT26_16,241964.7073,1379305.369,96,87,115,60,,Undrilled,Undrilled
CT27_01,241805.9677,1379366.677,25,90,115,60,,Undrilled,Undrilled
CT27_02,241817.0507,1379361.44,25,90,115,60,,Undrilled,Undrilled
CT27_03,241828.5343,1379356.015,25,90,115,60,,Undrilled,Undrilled
CT27_04,241831.9741,1379354.389,40,90,115,60,,Undrilled,Undrilled
CT27_05,241843.2818,1379349.047,40,90,115,60,,Undrilled,Undrilled
CT27_06,241841.5264,1379349.876,65,90,115,60,,Undrilled,Undrilled
CT27_07,241852.92,1379344.493,65,90,115,60,,Undrilled,Undrilled
CT27_08,241851.2761,1379345.27,89,90,115,60,,Undrilled,Undrilled
CT27_09,241862.563,1379339.937,90,90,115,60,,Undrilled,Undrilled
CT27_17,241966.0428,1379291.045,70,70,115,60,,Undrilled,Undrilled
CT27_19,241980.8867,1379284.032,85,62,115,60,,Undrilled,Undrilled
CT28_31,241833.0491,1379342.932,55,90,115,60,,Undrilled,Undrilled
CT28_32,241844.5296,1379337.507,55,90,115,60,,Undrilled,Undrilled
CT28_33,241848.5196,1379335.622,70,90,115,60,,Undrilled,Undrilled
CT28_34,241858.6001,1379330.859,70,90,115,60,,Undrilled,Undrilled
CT28_36,241890.0041,1379316.022,55,90,115,60,,Undrilled,Undrilled
CT28_58,242260.8687,1379140.796,159,48,115,60,,Undrilled,Undrilled
CT29_01,241837.4263,1379327.039,60,90,115,60,,Undrilled,Undrilled
CT29_02,241851.1881,1379320.536,60,90,115,60,,Undrilled,Undrilled
CT3_03,242020.8115,1379649.312,165,43,115,60,,Undrilled,Undrilled
CT3_04,242009.4944,1379654.183,165,43,115,60,,Undrilled,Undrilled
CT30_01,241839.727,1379312.127,65,90,115,60,,Undrilled,Undrilled
CT30_02,241851.1921,1379306.71,65,90,115,60,,Undrilled,Undrilled
